Kod,No,Decimal,Para birimi,Para birimini kullanan ülkeler
USD,840,2,Amerikan doları," ABD,  Amerikan Samoası,  Britanya Hint Okyanusu Toprakları,  Ekvador,  El Salvador,  Guam,  Haiti,  Marshall Adaları,  Mikronezya Federal Devletleri,  Kuzey Mariana Adaları,  Palau,  Panama,  Doğu Timor,  Turks ve Caicos Adaları,  ABD Virjin Adaları "
UYU,858,2,Uruguay pesosu," Uruguay"
UZS,860,2,Özbekistan somu," Özbekistan"
VEB,862,2,Venezuela bolivarı," Venezuela"
VND,704,2,Vietnam dongu," Vietnam"
VUV,548,0,Vanuatu vatusu," Vanuatu"
WST,882,2,Samoa talası," Samoa"
XAF,950,0,CFA Franc BEAC," Kamerun,  Orta Afrika Cumhuriyeti,  Kongo Cumhuriyeti,  Çad,  Ekvador,  Gabon"
XAG,961,.,Gümüş (1 Troy ons) (=31.1034768 gram),"
XAU,959,.,Altın (1 Troy ons) (=31.1034768 gram),"
XCD,951,2,Doğu Karayip doları," Anguilla,  Antigua ve Barbuda,  Dominika,  Grenada,  Montserrat,  Saint Kitts ve Nevis,  Saint Lucia,  Saint Vincent ve Grenadinler"
XDR,960,.,Özel çekme hakları,"Uluslararası Para Fonu"
XFO,Nil,.,Altın Frank (özel ödeme para birimi),"Uluslararası Ödemeler Bankası"
XFU,Nil,.,UIC Frank (özel ödeme para birimi),"Uluslararası Demiryolları Birliği"
XOF,952,0,CFA Franc BCEAO," Benin,  Burkina Faso,  Fildişi Sahili,  Gine-Bissau,  Mali,  Nijer,  Senegal,  Togo"
XPD,964,.,Palladium (1 3 gram Truva),""
XPF,953,0,CFP franc," Fransız Polinezyası,  Yeni Kaledonya,  Wallis ve Futuna"
YER,886,2,Yemen riyali," Yemen"
ZAR,710,2,Güney Afrika randı," Güney Afrika"
ZMK,894,2,Zambiya kwachası," Zambiya"
ZWD,716,2,Zimbabve doları," Zimbabve"
